,,,,2,3,2,3,,,,,
,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,,,Category,Total Score,
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,11/7/2020 9:43,photo,Studying,negative,0,,1,Animals,74965,
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,6/17/2021 12:22,photo,Studying,negative,1,,2,science,71168,
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/18/2021 5:13,photo,Studying,negative,2,,3,healthy eating,69339,
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,1/6/2021 19:13,photo,Studying,negative,3,,4,technology,68738,
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,8/23/2020 12:25,photo,Studying,negative,4,,5,food,66676,
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,12/7/2020 6:27,photo,Studying,negative,5,,6,culture,66579,
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,4/11/2021 17:35,photo,Studying,negative,6,,7,travel,64880,
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,1/27/2021 8:32,photo,Studying,negative,7,,8,cooking,64756,
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,4/1/2021 22:54,photo,Studying,negative,8,,9,soccer,57783,
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,8/4/2020 5:05,photo,Studying,negative,9,,10,education,57436,
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,11/7/2020 8:36,photo,Studying,negative,10,,11,fitness,55323,
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,11/2/2020 6:28,photo,Studying,negative,11,,12,Studying,54269,
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,11/1/2020 1:16,photo,Studying,negative,12,,13,dogs,52511,
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,10/7/2020 18:39,photo,Studying,negative,13,,14,tennis,50339,
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/3/2020 18:51,photo,Studying,negative,14,,15,veganism,49619,
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/24/2021 5:09,photo,Studying,negative,15,,16,public speaking,49264,
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,9/23/2020 6:24,photo,Studying,negative,16,,,,,
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2/24/2021 11:37,photo,Studying,negative,17,,,,,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,5/22/2021 19:44,photo,Studying,negative,18,,,,,
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,1/31/2021 16:03,photo,Studying,negative,19,,,,,
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,11/20/2020 17:26,photo,Studying,negative,20,,,,,
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,4/11/2021 20:47,photo,Studying,negative,21,,,,,
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,6/13/2021 16:46,photo,Studying,negative,22,,,,,
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,4/11/2021 14:29,photo,Studying,negative,23,,,,,
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,3/2/2021 19:21,photo,Studying,negative,24,,,,,
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,6/27/2020 18:44,photo,Studying,negative,25,,,,,
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5/9/2021 21:05,photo,Studying,negative,26,,,,,
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,8/4/2020 23:58,photo,Studying,negative,27,,,,,
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,8/28/2020 3:57,photo,Studying,negative,28,,,,,
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,8/25/2020 8:21,photo,Studying,negative,29,,,,,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/20/2021 23:48,photo,Studying,negative,30,,,,,
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,3/7/2021 12:40,photo,Studying,negative,31,,,,,
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,5/24/2021 3:21,photo,Studying,negative,32,,,,,
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,1/24/2021 11:03,photo,Studying,negative,33,,,1,2127,January
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,4/9/2021 2:46,photo,Studying,negative,34,,,2,1914,February
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/2/2021 3:43,photo,Studying,negative,35,,,3,2012,March
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2/4/2021 3:06,photo,Studying,negative,36,,,4,1973,April
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,11/9/2020 2:49,photo,Studying,negative,37,,,5,2138,May
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/29/2020 16:00,photo,Studying,negative,38,,,6,2020,June
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,11/29/2020 21:33,photo,Studying,negative,39,,,7,2070,July
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2/13/2021 7:54,photo,Studying,negative,40,,,8,2113,August
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,7/14/2020 5:28,photo,Studying,negative,41,,,9,2022,September
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,8/23/2020 10:30,photo,Studying,negative,42,,,10,2056,October
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,5/10/2021 9:27,photo,Studying,negative,43,,,11,2032,November
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,3/15/2021 3:59,photo,Studying,negative,44,,,12,2092,December
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,6/25/2020 17:01,photo,Studying,negative,45,,,,,
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,9/13/2020 0:11,photo,Studying,negative,46,,,,,
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,8/20/2020 18:17,photo,Studying,negative,47,,,,,
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2/11/2021 4:53,photo,Studying,negative,48,,,,,
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,3/8/2021 10:40,photo,Studying,negative,49,,,,,
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,3/28/2021 21:15,photo,Studying,negative,50,,,,,
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,5/25/2021 1:00,photo,Studying,negative,51,,,,,
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,3/15/2021 12:17,photo,Studying,negative,52,,,,,
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,5/5/2021 16:26,photo,Studying,negative,53,,,,,
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,8/31/2020 0:21,photo,Studying,negative,54,,,,,
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,6/16/2021 3:02,photo,Studying,negative,55,,,,,
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,7/7/2020 10:52,photo,Studying,negative,56,,,,,
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,8/20/2020 7:59,photo,Studying,negative,57,,,,,
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,9/23/2020 11:15,photo,Studying,negative,58,,,,,
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,3/24/2021 5:56,photo,Studying,negative,59,,,,,
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,12/7/2020 19:13,photo,Studying,negative,60,,,,,
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,8/3/2020 16:41,photo,Studying,negative,61,,,,,
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,1/10/2021 15:36,photo,Studying,negative,62,,,,,
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,9/20/2020 8:48,photo,Studying,negative,63,,,,,
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,7/20/2020 14:06,photo,Studying,negative,64,,,,,
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10/24/2020 12:15,photo,Studying,negative,65,,,,,
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,6/6/2021 1:27,photo,Studying,negative,66,,,,,
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,12/25/2020 0:09,photo,Studying,negative,67,,,,,
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,6/14/2021 7:56,photo,Studying,negative,68,,,,,
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,6/5/2021 18:00,photo,Studying,negative,69,,,,,
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,11/18/2020 23:37,photo,Studying,negative,70,,,,,
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,5/9/2021 2:42,photo,Studying,negative,71,,,,,
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,5/11/2021 8:38,photo,Studying,negative,72,,,,,
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,11/12/2020 8:00,photo,Studying,negative,73,,,,,
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,6/21/2020 16:57,photo,Studying,negative,74,,,,,
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,3/4/2021 23:58,photo,Studying,negative,75,,,,,
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,7/9/2020 16:47,photo,Studying,negative,76,,,,,
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,8/1/2020 19:16,photo,Studying,negative,77,,,,,
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11/23/2020 22:46,photo,Studying,negative,78,,,,,
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,12/11/2020 14:08,photo,Studying,negative,79,,,,,
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,4/23/2021 23:41,photo,Studying,negative,80,,,,,
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,11/13/2020 0:33,photo,Studying,negative,81,,,,,
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,6/9/2021 10:13,photo,Studying,negative,82,,,,,
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,10/29/2020 19:41,photo,Studying,negative,83,,,,,
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,5/14/2021 12:47,photo,Studying,negative,84,,,,,
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,8/4/2020 5:40,photo,Studying,negative,85,,,,,
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,8/7/2020 4:09,photo,Studying,negative,86,,,,,
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10/23/2020 21:19,photo,Studying,negative,87,,,,,
91,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,11/14/2020 23:53,photo,Studying,negative,88,,,,,
92,230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,8/4/2020 19:26,photo,Studying,negative,89,,,,,
93,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,11/12/2020 4:54,photo,Studying,negative,90,,,,,
95,356fff80-da4d-4785-9f43-bc1261031dc6,worried,4/3/2021 12:17,photo,Studying,negative,91,,,,,
96,356fff80-da4d-4785-9f43-bc1261031dc6,want,9/27/2020 22:15,photo,Studying,negative,92,,,,,
97,356fff80-da4d-4785-9f43-bc1261031dc6,heart,10/27/2020 5:45,photo,Studying,negative,93,,,,,
98,356fff80-da4d-4785-9f43-bc1261031dc6,scared,10/15/2020 9:11,photo,Studying,negative,94,,,,,
99,356fff80-da4d-4785-9f43-bc1261031dc6,heart,5/7/2021 9:16,photo,Studying,negative,95,,,,,
100,356fff80-da4d-4785-9f43-bc1261031dc6,hate,9/16/2020 8:39,photo,Studying,negative,96,,,,,
101,356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,10/29/2020 15:38,photo,Studying,negative,97,,,,,
103,01ab84dd-6364-4236-abbb-3f237db77180,scared,5/24/2021 18:03,photo,Studying,negative,98,,,,,
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,2/25/2021 20:02,photo,Studying,negative,99,,,,,
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,5/2/2021 3:45,photo,Studying,negative,100,,,,,
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,1/28/2021 8:49,photo,Studying,negative,101,,,,,
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2/15/2021 13:06,photo,Studying,negative,102,,,,,
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,11/4/2020 21:25,photo,Studying,negative,103,,,,,
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,6/23/2020 22:12,photo,Studying,negative,104,,,,,
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,2/16/2021 4:01,photo,Studying,negative,105,,,,,
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,1/3/2021 8:44,photo,Studying,negative,106,,,,,
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,11/25/2020 12:45,photo,Studying,negative,107,,,,,
114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,12/3/2020 16:47,photo,Studying,negative,108,,,,,
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,5/22/2021 21:03,photo,Studying,negative,109,,,,,
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,1/18/2021 13:39,photo,Studying,negative,110,,,,,
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,1/6/2021 0:35,photo,Studying,negative,111,,,,,
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,5/14/2021 14:33,photo,Studying,negative,112,,,,,
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,5/27/2021 15:21,photo,Studying,negative,113,,,,,
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,7/21/2020 2:12,photo,Studying,negative,114,,,,,
121,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,5/26/2021 6:09,photo,Studying,negative,115,,,,,
122,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2/25/2021 3:16,photo,Studying,negative,116,,,,,
123,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,12/7/2020 22:50,photo,Studying,negative,117,,,,,
124,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,10/24/2020 14:06,photo,Studying,negative,118,,,,,
125,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,9/1/2020 21:18,photo,Studying,negative,119,,,,,
126,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,5/10/2021 22:07,photo,Studying,negative,120,,,,,
128,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,2/12/2021 16:37,photo,Studying,negative,121,,,,,
129,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,4/28/2021 15:22,photo,Studying,negative,122,,,,,
130,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,1/24/2021 0:38,photo,Studying,negative,123,,,,,
131,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,3/18/2021 1:53,photo,Studying,negative,124,,,,,
132,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,1/14/2021 7:21,photo,Studying,negative,125,,,,,
133,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,12/23/2020 4:11,photo,Studying,negative,126,,,,,
134,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,5/21/2021 7:23,photo,Studying,negative,127,,,,,
